Items,Value,JSON,mmCIF,TFS XML Path,EMDB XML Path
Microscope,EMBL Krios 3,[em_imaging][microscope_model],em_imaging.microscope_model,[MicroscopeImage][microscopeData][instruments][InstrumentModel],[emd][structure_determination_list][structure_determination][microscopy_list]
microscope_serial_number,9930343,[em_imaging][microscope_serial_number],em_imaging.microscope_serial_number,?,?
software_version,?,[em_software][version],em_software.version,[MicroscopeImage][microscopeData][core][ApplicationSoftware],[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][software_list][software][version]
date,2024-11-26,[em_imaging][date],em_imaging.date,[MicroscopeImage][microscopeData][acquisitionDateTime],[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][date]
eV,300.0,[em_imaging][accelerating_voltage],em_imaging.accelerating_voltage,[MicroscopeImage][microscopeData][gun][AccelerationVoltage],[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][acceleration_voltage]
mag,105000.0,[em_imaging][nominal_magnification],em_imaging.nominal_magnification,[MicroscopeImage][microscopeData][optics][TemMagnification][NominalMagnification],[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][nominal_magnification]
apix,?,[?],?,[MicroscopeImage][SpatialScale][pixelSize][x][numericValue],?
nominal_defocus_min_microns,?,[em_imaging][nominal_defocus_min],em_imaging.nominal_defocus_min,[MicroscopeImage][microscopeData][optics][TemMagnification][NominalMagnification],[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][nominal_defocus_min]
grid_topology,?,[em_support_film][topology],em_support_film.topology,[Samples][_items][SampleXml][0][GridType],[emd][structure_determination_list][structure_determination][specimen_preparation_list][single_particle_preparation][grid][support_film][film_topolgy]
grid_material,?,[em_support_film][material],em_support_film.material,[Samples][_items][SampleXml][0][GridType],[emd][structure_determination_list][structure_determination][specimen_preparation_list][single_particle_preparation][grid][support_film][film_material]
nominal_defocus_max_microns,?,[em_imaging][nominal_defocus_max],em_imaging.nominal_defocus_max,[MicroscopeImage][microscopeData][optics][Defocus],[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][nominal_defocus_max]
spot_size,?,[?],?,[MicroscopeImage][microscopeData][optics][SpotIndex],?
C2_micron,?,[em_imaging][c2_aperture_diameter],em_imaging.c2_aperture_diameter,[MicroscopyImage][CustomData][a:KeyValueOfstringanyType][a:Key] is Aperture[C2].Name then extract [<a:Value>],[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][c2_aperture_diameter]
Objective_micron,?,[?],?,[MicroscopyImage][CustomData][a:KeyValueOfstringanyType][a:Key] is Aperture[OBJ].Name then extract [<a:Value>],?
Beam_diameter_micron,?,[?],?,[MicroscopeImage][microscopeData][optics][BeamDiameter],?
collection,?,[?],?,?,?
number_of_images,?,[?],?,?,?
software_name,SerialEM,[em_software][name],em_software.name,[MicroscopeImage][microscopeData][core][ApplicationSoftwareVersion],[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][software_list][software][name]
software_category,IMAGE ACQUISITION,[em_software][category],em_software.category,PREDEFINED VALUE,[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy]
microscope_mode,?,[em_imaging][mode],em_imaging.mode,[MicroscopeImage][microscopeData][optics][ColumnOperatingTemSubMode],[emd][structure_determination_list][structure_determination][microscopy_list][imaging_mode]
detector_name,?,[em_image_recording][film_or_detector_model],em_image_recording.film_or_detector_model,[MicroscopyImage][CustomData][a:KeyValueOfstringanyType][a:Key] isDetectorCommercialName then extract [<a:Value>],[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][image_recording_list][image_recording][film_or_detector_model]
dose_rate,?,[em_image_recording][avg_electron_dose_per_image],em_image_recording.avg_electron_dose_per_image,?,[emd][structure_determination_list][structure_determination][microscopy_list][single_particle_microscopy][image_recording_list][image_recording][average_electron_dose_per_image]
